Time,CCA1,SIG5,BLRP,Condition
8,0.152830035,0.225312616,1.892115293,Sun
8,0.161544104,0.186856156,2.042024251,Sun
10,0.190782401,0.234880687,2.042024251,Sun
10,0.194791145,0.21915143,2.056227653,Sun
12,0.137738139,0.105843164,1.505246747,Sun
12,0.161544104,0.251738888,1.484523571,Sun
14,0.032128557,0.025737219,0.514056913,Sun
14,1.117287138,0.47963206,3.530811985,Sun
14,0.160428237,0.051118879,1.2397077,Sun
14,0.128514228,0.060371021,0.550952558,Sun
16,0.153893052,0.045752678,1.01395948,Sun
16,0.135841858,0.042393885,1.042465761,Sun
18,0.50697974,0.183010712,0.615572207,Sun
18,0.5,0.055939067,0.217637641,Sun
20,5.656854249,0.368567304,0.790041312,Sun
20,3.655325801,0.320856474,0.524858342,Sun
22,15.77972327,0,3.294364069,Sun
22,7.568461174,0.763129604,0.664342907,Sun
22,10.85283462,0.514056913,1.01395948,Sun
22,12.21007367,0.687770909,0.933032992,Sun
22,11.00433455,0.482968164,0.558643569,Sun
22,10.62948651,0.453759578,0.476318999,Sun
24,14.52030649,0,1.8276629,Sun
24,8.339726087,0.558643569,0.806641759,Sun
24,19.56224444,0.882702996,0.590496331,Sun
24,13.547925,0.707106781,0.959264119,Sun
24,16.1112888,0.692554734,1.394743666,Sun
26,10.33882265,1.569168196,1.394743666,Sun
26,16.1112888,3.031433133,4.316912946,Sun
26,11.00433455,1.180992661,0.381564802,Sun
26,12.46663327,1.366040257,1.064370182,Sun
26,11.08087574,0.650670928,0.411795509,Sun
28,14.6213032,0,5.502167273,Sun
28,4.316912946,2.462288827,2.329467173,Sun
28,5.388934307,0.726986259,1.424050196,Sun
28,7.110741449,0.858565436,0.757858283,Sun
28,6.36429187,1.385109468,1.189207115,Sun
30,3.434261746,1.866065983,2.989698497,Sun
30,1.086734863,0.320856474,0.697371833,Sun
30,4.75682846,1.140763716,1.741101127,Sun
30,1.840375301,1.117287138,1.035264924,Sun
30,2.789487333,0.554784736,0.901250463,Sun
32,2.639015822,1.042465761,2.496661098,Sun
32,0.312082637,0.161544104,1.613283518,Sun
32,0.142595464,0.133971683,1.986184991,Sun
32,0.721964598,0.234880687,2.29739671,Sun
32,1.424050196,0.068393356,0.946057647,Sun
32,0.258816231,0.067920929,1.180992661,Sun
8,0.312082637,0.178006274,1.613283518,Shade
8,0.066985841,0.307786103,0.323088208,Shade
8,0.085377516,0.029360086,0.318640157,Shade
8,0.281264621,0.085971364,1.526259209,Shade
8,0.363493129,0.132127255,2.29739671,Shade
8,0.784584098,0.22221067,2.042024251,Shade
10,0.152830035,0.207329886,1.958840595,Shade
10,0.972654947,0.341510064,1.366040257,Shade
10,0.018840747,0.013792234,0.194791145,Shade
10,0.106579361,0.116629124,0.959264119,Shade
10,0.158219574,0.305660069,7.835362381,Shade
10,0.570381858,0.607097442,4.28709385,Shade
12,0.133971683,0.125,1.414213562,Shade
12,0.147624083,0.057911754,0.784584098,Shade
12,0.009551877,0.006707542,0.102237757,Shade
12,0.08478777,0.040949794,1.042465761,Shade
12,0.075362989,0.028359974,1.00695555,Shade
12,0.473028823,0.325335464,2.219138944,Shade
14,0.086569342,0.04358574,0.91383145,Shade
14,0.024688791,0.046714039,0.336808394,Shade
14,0.00196671,0.005719085,0.05041511,Shade
14,0.027016788,0.04358574,0.752623374,Shade
14,0.126744935,0.062068281,1.905275996,Shade
14,0.305660069,0.184283652,2.250116969,Shade
16,0.014278616,0.027584469,0.205897754,Shade
16,0.059539875,0.076415017,1.01395948,Shade
16,0.003852472,0.010237448,0.045436641,Shade
16,0.037162722,0.032128557,0.41754396,Shade
16,0.194791145,0.120742041,1.958840595,Shade
16,0.275476279,0.092141826,1.385109468,Shade
18,0.320856474,0.095391201,0.5,Shade
18,0.965936329,0.168404197,0.901250463,Shade
18,0.149684838,0.044194174,0.135841858,Shade
18,0.566441943,0.088388348,0.41754396,Shade
18,1.00695555,0.207329886,2.496661098,Shade
18,2.042024251,0.198884121,0.972654947,Shade
20,8.397733469,0.438302861,0.806641759,Shade
20,10.48314723,0.726986259,1.035264924,Shade
20,1.602139755,0.072293011,0.082469244,Shade
20,2.394957409,0.277392368,0.325335464,Shade
20,4.9588308,0.450625231,2.234574276,Shade
20,8.6938789,0.316439148,1.140763716,Shade
22,17.75311155,0.429282718,0.920187651,Shade
22,9.000467878,0.323088208,0.257028457,Shade
22,3.249009585,0.21915143,0.093428078,Shade
22,12.99603834,0.453759578,0.251738888,Shade
22,19.15965927,1.125058485,3.555370725,Shade
22,41.93258892,0.901250463,1.2397077,Shade
24,15.56247916,0.747424624,1.172834949,Shade
24,13.547925,0.316439148,0.178006274,Shade
24,14.72300241,0.655196702,0.737134609,Shade
24,9.781122222,0.450625231,0.543367431,Shade
24,12.38051995,0.366021424,0.356012549,Shade
24,37.27147477,0.817902059,1.945309895,Shade
26,17.75311155,1.474269217,1.693490625,Shade
26,19.42711815,0.637280314,0.907519155,Shade
26,16.44982123,1.356604327,1.180992661,Shade
26,12.46663327,0.888842681,0.432268616,Shade
26,13.547925,1.366040257,2.462288827,Shade
26,32.89964245,1,1.086734863,Shade
28,18.89588258,1.375541818,1.2397077,Shade
28,11.39240156,2.361985323,2.158456473,Shade
28,7.889861636,1.866065983,1.109569472,Shade
28,10.33882265,2.313376368,1.717130873,Shade
28,9.447941291,1.274560627,1.283425898,Shade
28,13.8325957,1.580082624,3.226567037,Shade
30,0.926588062,0.496546248,1.424050196,Shade
30,1.892115293,0.972654947,2.37841423,Shade
30,3.226567037,1.635804117,2.042024251,Shade
30,1.790050142,1.205807828,1.741101127,Shade
30,2.928171392,1.140763716,2.928171392,Shade
32,3.60500185,2.265767771,9.253505471,Shade
32,0.173138684,3.052518418,1.172834949,Shade
32,0.386891248,1.132883885,2.203810232,Shade
32,1.086734863,3.20427951,8.282119391,Shade
32,0.726986259,0.426317446,0.858565436,Shade
